,Problema,expert1,expert2,expert3,expert4,expert5,Euristiche,Id valutatori,mean,std,median
EM1,1 - La forma dell'icona di download al fianco di una canzone suggerisce che si tratti di un pulsante per scaricare la stessa. In realtà indica solo lo stato della canzone,3,3,2,2,3,E5,EU1,2.6,0.5477225575051661,3.0
EM2,2 - Quando si inserisce una canzone in coda ma una coda è già  presente compare un pop-up che chiede se eliminarla o mantenerla e entrambe le opzioni hanno lo stesso aspetto e sono entrambe irreversibili,3,3,2,1,4,E8-E9,EU1,2.6,1.140175425099138,3.0
EM3,3 - Quando si riproduce una canzone viene aperta una schermata nella quale non è presente alcun pulsante per tornare indietro alla schermata precedente. Se si preme in alto a sinistra si torna indietro ma non c'è alcun pulsante visibile,3,4,1,3,3,E3,EU1,2.8,1.095445115010332,3.0
EM4,"4 - Nella sezione ""radio"" sono raccolte sia tracce musicali che album. Il loro aspetto è il medesimo e l'utente non può riconoscere se cliccando su di esso venga avviata la traccia o venga visualizzato l'album",4,3,4,3,3,E4-E5-E8,EU1,3.4,0.5477225575051661,3.0
EM5,"5 - Nella sezione ""permessi per app di  terze parti"" vengono elencate le app che hanno accesso all'account come una serie di pulsanti che però non sono cliccabili",2,3,2,1,1,E4,EU1-EU2,1.8,0.8366600265340756,2.0
EM6,6 - Non è presente una guida o una documentazione su  come utilizzare l'applicazione,3,0,1,2,1,E10,EU1,1.4,1.140175425099138,1.0
EM7,7 - Quando elimino un brano dalla playlist l'effetto non è immediatamente visualizzabile a meno che non si chiuda e si riapra nuovamente la playlist,2,4,3,3,3,E1-E4,EU1,3.0,0.7071067811865476,3.0
EM8,"8 - Nelle opzioni di una canzone il pulsante ""crea una stazione"" non restituisce alcun feedback",3,3,2,3,2,E3,EU1-EU2,2.6,0.5477225575051661,3.0
EM9,"9 - Quando mi trovo nella schermata riproduzione, indipendentemente dal click effettuato sul nome dell'artista o sul nome della canzone, compare un pop-up dove viene chiesto se visualizzare l'artista o l'album corrente",2,3,2,0,3,E2,EU1,2.0,1.224744871391589,2.0
EM10,"10 - Nella sezione ""altro"" delle impostazioni l'utente non viene avvisato su quali pulsanti portano fuori dall'applicazione",0,2,2,2,1,E3-E4,EU1,1.4,0.8944271909999159,2.0
EM11,"11 - L'icona della sezione ""ascolta ora"" potrebbe indurre l'utente a sbagliare o confondersi dato che sembra un'icona per la riproduzione della musica",3,2,2,2,2,E2-E4-E5,EU2,2.2,0.4472135954999578,2.0
EM12,"12 - Nella sezione ""ascolta ora"", dopo aver aggiunto un brano alla libreria, compare un pulsante che non fornisce nè informazioni riguardo la sua funzione nè alcun feedback",3,4,1,3,2,E1-E5,EU2,2.6,1.140175425099138,3.0
EM13,13 - Se durante il download di un contenuto si decidesse di annullare lo stesso il sistema non restituisce alcun feedback a riguardo,3,2,2,2,2,E1-E8,EU1-EU2,2.2,0.4472135954999578,2.0
EM14,"14 - Nella sezione account, in ""paese/zona"", viene visualizzata una schermata bianca dove viene indicato che ""per cambiare store devi prima cancellare il tuo abbonamento"" che è un'informazione che non ha nulla a che fare con l'opzione selezionata",4,3,2,3,4,E2-E3,EU2,3.2,0.8366600265340756,3.0
EM15,"15 - Nella sezione ""account"", per attivare l'abbonamento famiglia, viene mostrata una pagina chiedendo l'iscrizione ad apple music nonostante un abbonamento sia già attivo",4,3,3,3,3,E2-E8,EU2,3.2,0.4472135954999578,3.0
EM16,"16 - Quando si visualizzano le opzioni di una traccia i pulsanti ""mi piace"" e ""non mi piace"" non restituiscono alcun feedback quando deselezionati (al contrario di quando selezionati)",2,2,1,1,1,E1-E4,EU2-ED1,1.4,0.5477225575051661,1.0
EM17,"17 - Nel menu ""condividi"" non è presente alcun feedback quando si clicca sul pulsante per copiare il link di una traccia",3,2,2,3,2,E1,EU2,2.4,0.5477225575051661,2.0
EM18,"18 - Per segnalare un problema agli sviluppatori, sul testo di una canzone viene mostrata una checkbox dove, nel caso non venisse selezionata la categoria dell'errore, non viene restituito alcun feedback e nèfa procedere",3,2,1,3,2,E1,EU2,2.2,0.8366600265340756,2.0
EM19,"19 - Nella segnalazione di un problema riguardo il testo di una canzone viene mostrata quello che sembra una checkbox (selezione multipla) che però non permette la selezione di più elementi, quindi in realtà è un radiobutton (selezione singola)",2,2,2,3,2,E2,EU2,2.2,0.4472135954999579,2.0
EM20,"20 - Nella sezione ""debug"" delle impostazioni la lingua utilizzata è l'inglese nonostante il sistema e il resto dell'applicazione siano in lingua italiana",1,2,0,2,3,E2,EU2,1.6,1.140175425099138,2.0
EM21,21 - Nella schermata di riproduzione le informazioni riguardanti i pulsanti riproduzione casuale e ripeti non vengono indicate,3,2,2,3,1,E5,EU2,2.2,0.8366600265340756,2.0
EM22,22 - Nel menu di condivisione di una playlist vengono mostrate più opzioni (WhatsApp e SMS) rispetto a quelle mostrate nel menu di condivisione relativo al testo di una canzone (solo WhatsApp),1,2,2,2,1,E4,EU2,1.6,0.5477225575051661,2.0
EM23,"23 - Nella sezione ""libreria"" vengono mostrate troppe informazioni riguardo gli ascolti recenti",2,0,1,2,1,E8,ED1,1.2,0.8366600265340756,1.0
EM24,"24 - Non viene indicato nella sezione ""Ascolta ora"" lo scopo della stessa. Viene quindi confusa con la sezione ""Esplora""",4,2,2,3,2,E2-E5,ED1-ED2-ED3,2.6,0.8944271909999159,2.0
EM25,"25 - La sezione per i video musicali è nascosta all'interno del menu ""esplora""",3,1,1,2,3,E8,ED1,2.0,1.0,2.0
EM26,"26 - La sezione per i podcast è nascosta all'interno del menu ""radio""",3,0,2,2,2,E8,ED1,1.8,1.095445115010332,2.0
EM27,27 - Nessuna sezione di Apple Music è riconducibile a una home vera e propria,3,0,1,3,3,E2,ED2-ED3,2.0,1.4142135623730951,3.0
EM28,28 - La lista dei brani ascoltati non è ordinata e non immediatamente riconoscibile,1,2,2,4,3,E2-E4,ED2,2.4,1.140175425099138,2.0
EM29,29 - Il pulsante per mostrare il testo nella schermata di riproduzione è poco chiaro riguardo il suo funzionamento,2,0,2,2,2,E5,ED2,1.6,0.8944271909999161,2.0
EM30,30 - La divisione tra la coda già ascoltata e quella da ancora da ascoltare è poco chiara,1,2,2,3,3,E5,ED2,2.2,0.8366600265340756,2.EM0
