,Problema,expert1,expert2,expert3,expert4,expert5,Euristiche,Id valutatori,mean,std,median
ET1,"1 - La sezione ""esplora"" ha una struttura differente rispetto alla ""home"", ""video"" e ""la mia collezione""",2,2,2,0,0,E4,EU1,1.2,1.0954451150103324,2.0
ET2,"2 - Dopo aver attivato la modalità offline nelle impostazioni se si torna indietro l'app, invece di tornare nel menu precedente, si chiude",3,4,4,4,4,E3-E9,EU1-EU2,3.8,0.4472135954999578,4.0
ET3,"3 - Nelle impostazioni ogni pulsante quando viene cliccato non restituisce alcun feedback, viene solamente aperta la schermata successiva",2,2,2,2,2,E1,EU1-EU2,2.0,0.0,2.0
ET4,4 - Non è presente alcuna documentazione o tutorial che spieghi come utilizzare l'applicazione,3,0,2,2,1,E10,EU1-EU2,1.6,1.140175425099138,2.0
ET5,"5 - Nella schermata di riproduzione di una canzone i pulsanti per accedere alla coda, ai suggerimenti e alle informazioni sono vicini ai tasti di sistema indietro, home e multitasking facilitando errori nel cliccarli",2,1,3,1,3,E8,EU1-ED1-ED2,2.0,1.0,2.0
ET6,6 - Quando vengono effettuati dei cambiamenti nelle playlist o nelle code il messaggio di successo viene colorato di rosso lasciando intendere un messaggio di errore,1,2,2,3,2,E2,EU1,2.0,0.7071067811865476,2.0
ET7,7 - Durante la riproduzione di un video in orizzontale non è presente alcun tasto che indichi come uscire dalla schermata corrente,2,2,2,3,2,E3,EU1,2.2,0.4472135954999579,2.0
ET8,"8 - Nella schermata riproduzione il pulsante ""informazioni"" fa tornare indietro di una schermata e mostra un menu nascosto relativo alle informazioni della canzone corrente. Il comportamento è totalmente diverso dagli altri due di fianco (""coda"" e ""consigliati"") che aprono una nuova schermata dedicata",2,2,3,3,3,E4,EU1,2.6,0.5477225575051661,3.0
ET9,"9 - Nella sezione ""esplora"" sono presenti diverse sezioni per accedere a diverse raccolte di musica dell'app. Alcune mostrano direttamente i suggerimenti, altre invece forniscono una spiegazione della raccolta selezionata",2,2,1,1,0,E4,EU1,1.2,0.8366600265340756,1.0
ET10,10 - Quando si modificano le informazioni del proprio account non è presente alcun tasto per confermare le informazioni inserite. L'unico modo per salvarle è quello di tornare indietro,2,3,3,2,2,E3-E1,EU1,2.4,0.5477225575051661,2.0
ET11,"11 - Quando si modificano le informazioni del proprio account, anche in presenza di errori nei campi di testo segnalati dallo stesso sistema, è comunque possibile salvare tornando indietro nell'app",4,4,4,4,3,E8-E9,EU1,3.8,0.4472135954999579,4.0
ET12,"12 - In caso di tanti download in coda è possibile metterli in pausa. Per riprendere il download si deve premere il pulsante ""download"" per ogni elemento della coda senza poter riprendere tutto simultaneamente",4,2,2,4,3,E3-E6,EU1,3.0,1.0,3.0
ET13,13 - Nella schermata di riproduzione il pulsante di cambio dispositivo non indica con chiarezza la sua funzione,2,2,2,3,3,E2-E5,EU2,2.4,0.5477225575051661,2.0
ET14,14 - Nella sezione relativa alle informazioni di una traccia la lingua utilizzata per la descrizione di un campo differisce da quella utilizzata per il titolo del campo stesso,2,2,2,3,2,E2,EU2,2.2,0.4472135954999579,2.0
ET15,"15 - La descrizione della categoria ""360 audio"" nella sezione esplora ha la descrizione in una lingua differente da quella di sistema",2,2,2,2,2,E2,EU2,2.0,0.0,2.0
ET16,"16 - Nella gestione delle playlist la voce ""move to folder"" non è tradotta in italiano a differenza di tutte le altre opzioni",2,2,2,2,3,E2,EU2,2.2,0.4472135954999579,2.0
ET17,"17 - Nella sezione ""esplora"" viene presentata una lista di generi poco riconoscibili",0,4,1,3,2,E6,ED1-ED2-ED3,2.0,1.5811388300841898,2.0
ET18,"18 - I termini ""HiFi"" e ""Master"" indicano con poca chiarezza il grado della qualità  selezionata",1,3,3,3,2,E5,ED1-ED2,2.4,0.8944271909999159,3.0
ET19,"19 - La sezione ""podcast"" è nascosta all'interno del menu ""radio""",2,0,1,3,2,E8,ED1,1.6,1.140175425099138,2.0
ET20,20 - I risultati di una ricerca non vengono ordinati secondo un ordine specifico,3,3,2,3,3,E6,ED2-ED3,2.8,0.4472135954999579,3.0
ET21,21 - Nella schermata di riproduzione il pulsante dei consigliati non è chiaro su quale sia la sua funzione,2,2,2,3,2,E5,ED2,2.2,0.4472135954999579,2.0
ET22,"22 - Il pulsante per aggiungere in cima alla coda una canzone ha una descrizione poco chiara (""Aggiungi in cima"")",2,2,0,2,2,E2,ED3,1.6,0.8944271909999159,2.0
ET23,"23 - Le impostazioni sono difficili da trovare e in una sezione poco attinente (""la mia musica"")",3,4,2,3,4,E2-E5,ED3,3.2,0.8366600265340756,3.0
