,User1,User2,User3,User4,User5,User6,User7,User8,User9,User10,User11,User12,User13,User14,Sconosciuto1,Sconosciuto2,Sconosciuto3,Sconosciuto4,Sconosciuto5,Sconosciuto6,Sconosciuto7,Sconosciuto8,Sconosciuto9,Sconosciuto10,Sconosciuto11
genere,Maschio,Femmina,Femmina,Femmina,Femmina,Femmina,Femmina,Maschio,Femmina,Maschio,Maschio,Maschio,Maschio,Maschio,Maschio,Maschio,Femmina,Femmina,Maschio,Maschio,Maschio,Maschio,Maschio,Maschio,Femmina
eta,24,23,22,26,20,22,52,55,52,50,12,23,26,22,27,31,22,25,26,20,20,19,19,19,21
situazione lavorativa,Studente,Studente,Studente,Lavoratore,Studente,Studente,Lavoratore,Lavoratore,Lavoratore,Lavoratore,Studente,Studente,Studente,Studente,Lavoratore,Lavoratore,Lavoratore,Studente,Studente,Studente,Studente,Lavoratore,Studente,Lavoratore,Lavoratore
istruzione,Laurea Triennale,Laurea Triennale,Diploma,Laurea Magistrale,Diploma,Laurea Triennale,Diploma,Diploma,Diploma,Diploma,Elementari,Laurea Triennale,Diploma,Diploma,Laurea Triennale,Laurea Triennale,Diploma,Laurea Triennale,Laurea Triennale,Diploma,Diploma,Diploma,Diploma,Diploma,Diploma
fastidioso-piacevole,7,4,6,4,5,5,3,5,6,5,6,3,3,6,6,7,5,7,5,5,6,5,2,6,6
incomprensibile-comprensibile,7,5,6,3,6,5,1,5,6,5,3,3,2,6,6,6,5,7,5,5,5,6,3,6,5
creativo-privo di fantasia,4,6,2,4,4,4,3,5,3,6,1,2,2,2,3,4,3,3,6,4,4,4,5,6,4
facile da apprendere-difficile da apprendere,1,2,2,5,3,2,7,4,3,3,5,4,6,4,3,2,2,3,2,3,4,6,4,1,2
di grande valore-di poco valore,2,4,4,4,4,4,3,4,4,6,4,3,4,4,4,4,3,4,3,4,4,7,4,1,4
noioso-appassionante,6,4,4,4,5,4,1,5,4,2,5,4,5,6,4,5,6,4,2,4,4,4,3,4,4
non interessante-interessante,6,4,5,4,5,2,1,5,4,2,7,5,5,6,4,4,7,4,5,4,4,5,5,4,4
imprevedibile-prevedibile,7,6,5,3,6,6,1,5,4,6,6,3,3,7,4,4,3,4,5,4,5,5,5,4,5
veloce-lento,1,3,2,3,2,1,5,5,3,2,2,5,4,1,4,2,2,1,2,4,3,4,1,2,3
originale-convenzionale,6,7,3,4,5,5,4,5,4,7,7,3,4,2,3,4,3,5,6,4,3,6,6,3,5
ostruttivo-di supporto,7,4,4,3,6,4,2,5,4,5,4,2,3,5,4,5,6,4,5,4,4,5,4,6,5
buono-scarso,1,3,2,5,2,2,4,4,2,4,3,3,3,2,3,2,2,4,4,4,3,4,3,2,3
complicato-facile,7,6,6,3,6,6,1,5,6,4,5,4,1,7,5,6,6,4,5,5,3,5,4,6,6
repellente-attraente,5,4,4,4,6,5,4,4,6,4,4,4,5,5,5,4,5,5,3,4,6,4,5,5,6
usuale-moderno,2,2,6,4,3,5,5,4,6,6,6,5,5,7,6,6,6,3,3,5,6,4,6,6,4
sgradevole-gradevole,6,5,6,3,7,5,3,4,6,5,7,3,4,7,5,6,6,5,5,5,4,5,6,6,5
sicuro-insicuro,2,3,4,4,1,1,4,4,3,4,4,5,5,6,4,2,1,2,4,4,4,6,3,1,4
attivante-soporifero,2,4,4,3,3,2,5,5,3,4,3,4,3,1,4,4,2,3,6,4,5,5,4,4,4
conforme alle aspettatitve-non conforme alle aspettative,1,2,2,4,2,2,6,6,4,2,6,5,6,2,3,2,2,2,2,4,3,5,2,2,2
inefficiente-efficiente,7,6,6,4,6,5,6,3,6,6,6,5,3,6,4,6,7,5,5,4,6,5,5,6,6
chiaro-confuso,1,3,2,5,3,3,6,4,3,5,4,5,6,2,3,2,1,3,5,3,5,6,6,1,3
non pragmatico-pragmatico,4,6,4,3,7,4,2,4,4,4,4,4,4,5,4,4,2,4,3,5,6,5,5,6,5
ordinato-sovraccarico,1,3,2,5,1,3,6,4,3,5,6,6,6,2,6,2,2,4,6,2,4,6,5,1,3
invitante-non invitante,3,4,2,4,3,2,7,5,3,3,1,5,3,2,2,3,1,5,6,4,4,5,2,3,3
congeniale-ostile,1,3,4,5,2,3,7,4,3,4,4,4,5,2,4,3,2,4,5,4,4,4,2,3,3
conservativo-innovativo,2,4,6,4,3,4,5,4,5,2,6,6,6,7,5,5,6,3,2,4,6,4,5,4,4
NPS,9,9,8,8,7,9,0,7,8,7,8,7,6,9,5,7,9,6,2,4,7,5,4,7,6
