User;Task 1 AliExpress;Task 2 AliExpress;Task 3 AliExpress;Task 1 Temu;Task 2 Temu;Task 3 Temu;Sesso;Eta;Lavoro;Istruzione
ED1;1.30-C;2.21-C;1.20-C;1.30-C;1.51-C;2.50-A;M;52;Lavoratore;Diploma
ED2;0.41-C;1.35-C;0.39-C;0.36-C;1.33-C;0.27-C;M;21;Studente;Diploma
ED3;0.43-C;1.09-C;0.42-C;1.02-C;1.48-C;1.07-C;F;22;Studente;Diploma
ED4;1.15-C;1.52-C;0.32-C;0.34-C;0.52-C;0.30-C;M;22;Studente;Diploma
U1;0.55-C;0.59-C;1.07-A;0.35-C;0.59-C;0.52-C;M;22;Studente;Diploma
U2;0.39-C;0.58-C;0.26-C;1.32-C;1.58-C;0.40-C;M;21;Studente;Diploma
U3;0.38-C;1.33-C;0.31-C;1.14-C;1.24-C;0.38-C;M;22;Studente;Diploma
U4;1.35-C;2.29-A;0.45-C;0.45-C;1.38-C;0.49-C;F;48;Lavoratore;Laurea
U5;0.45-C;1.45-C;0.50-C;1.04-C;1.42-C;0.35-C;M;21;Studente;Diploma
U6;2.35-F;1.30-A;0.38-C;0.54-C;2.12-A;0.25-C;M;22;Studente;Diploma
U7;1.10-F;0.57-C;0.33-C;0.34-C;1.21-C;0.28-C;M;21;Studente;Diploma
U8;0.25-C;1.02-C;0.32-C;0.20-C;0.46-C;1.15-A;M;22;Studente;Diploma
